country,MealInexpensive,Meal2People,McMeal,BeerDomesticRestaurant,BeerImportedRestaurant,Cappucino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Banana,Oranges,Tomato,Potato,Onion,Lettuce,Water,Wine,BeerDomesticMarket,BeerImportedMarket,Cigarettes,LocalTransport1Way,MonthlyPass,TaxiStart,Taxi1km,Taxi1hrWaiting,Gasoline,CarVolkswagenGolf,CarToyotaCorolla,Utility,PrepaidMobile,InternetAndMobile,FitnessClub,TennisCourtRent,Cinema,Preschool,PrimarySchool,Jeans,SummerDress,NikeRunningShoes,LeatherBusinessShoes,Apt1BedroomCityCtr,Apt1BedroomNoCityCtr,Apt3BedroomCityCtr,Apt3BedroomNoCityCtr,PricePerSqMtCityCtr,PricePerSqMtNoCityCtr,AvgMonthlyNetSalary,MortgageInterest,data_quality
Australia,14.978,62.07472727,8.662,5.525925926,5.526603774,3.138727273,2.402909091,1.930727273,1.164363636,1.861090909,1.765555556,3.260727273,7.468181818,7.61462963,13.99075472,3.066666667,2.620188679,2.727692308,4.9,2.25462963,1.951111111,2.158703704,1.616,10.5975,3.998039216,4.263137255,23.30056604,2.804054054,78.0064,2.913877551,1.468444444,30.42288889,1.330784314,19841.14553,18081.73625,144.9102381,0.304705882,51.8587037,47.19146341,13.17967742,12.05672727,1421.626563,11356.51063,66.41722222,36.25137255,92.76944444,97.049,1206.624167,912.9308824,1815.579167,1543.185714,4855.502174,3544.832727,3494.016667,3.412564103,0.234375
Austria,14.80071429,56.97928571,8.510714286,3.931538462,3.94,3.307142857,2.905384615,2.340833333,1.213571429,2.017142857,2.127692308,3.104285714,16.38384615,10.89714286,17.93846154,2.688461538,1.938461538,2.513846154,2.952307692,1.678461538,1.475384615,1.359230769,0.725384615,5.990769231,1.17,1.703846154,5.911538462,2.378,47.84777778,5.178,1.853,28.596,1.877272727,24397.09273,20455.74,232.9941667,0.094545455,33.66,41.11363636,21.44888889,13,470.6736364,8690.827,89.59833333,36.1225,86.02833333,110.77,710.0384615,607.8058333,1256.976923,1074.863636,5695.419,4320.849091,2224.756923,1.938461538,0.428571429
Azerbaijan,5.159090909,18.972,6.533333333,0.948181818,1.65,1.958,0.437272727,0.22,0.941818182,0.337272727,1.185454545,1.207,3.052727273,3.086363636,6.106363636,1.037272727,1.584545455,1.271818182,1.137272727,0.509090909,0.396363636,0.535454545,0.462727273,3.406363636,0.964545455,1.480909091,2.833636364,0.18,10.41833333,0.842,0.39,4.469,0.582727273,16264.78,21372.64375,44.88,0.039,14.20727273,20.34888889,16.24,3.267777778,156.6333333,4623.276,29.042,29.172,85.97333333,50.20111111,149.41375,100.9025,260.4125,181.5725,751.585,409.2533333,269.41125,9.398,0.090909091
Bahrain,5.436666667,43.32333333,5.79,8.84,9.723333333,4.08,0.753333333,0.386666667,1.486666667,1.16,2.346666667,4.073333333,5.823333333,8.05,9.356666667,2.126666667,1.973333333,1.693333333,1.536666667,1.333333333,0.983333333,2.05,0.546666667,27.41,1.97,4.603333333,5.66,0.776666667,31.97,3.8,2.476666667,7.96,0.46,25640.48,19411.21,167.7666667,0.083333333,59.38666667,82.03,49.735,8.84,358.82,9110.476667,43.43666667,50.46,87.75666667,92.20666667,918.1633333,555.3966667,1698.313333,1237.816667,2629.255,1707.525,3434.33,6.813333333,0.333333333
Bangladesh,1.9325,7.18,4.894545455,3.649,6.160909091,1.559090909,0.254166667,0.131666667,0.635,0.410909091,0.520833333,0.9725,7.075454545,1.7825,5.151666667,1.4425,0.614166667,1.471666667,0.573333333,0.246666667,0.526666667,0.260909091,0.23,4.681,2.224,4.72,2.686666667,0.39,12.92,0.685,0.409,2.085714286,0.865454545,38389.982,26986.63556,29.98,0.011818182,29.71181818,10.55,6.6775,4.096666667,35.216,1131.952,17.04583333,18.285,35.14333333,30.66916667,76.20727273,48.52416667,161.4566667,102.02,546.6333333,281.2916667,199.178,9.761,0.166666667
Barbados,18.75,95.11,8.97,3.25,5,4,1.52,1.28,3.28,2.71,3.6,4.61,29.29,9.42,12.21,2.78,2.62,3.39,3.15,2.94,3.22,2.48,1.92,15,2.13,3.17,7.96,1.75,36,10,1.88,25,2.1,37500,39166.67,100,0.37,50,73.12,11.25,10,241.67,5333.33,77,60,134.38,118.75,540,450,1700,1187.5,1706.08,,1333.33,6.17,1
Belarus,7.92,32.68272727,4.419166667,1.105833333,2.143333333,1.5275,0.715,0.485833333,0.7275,0.618333333,1.135,1.311666667,6.764166667,4.05,6.586666667,1.36,1.813333333,1.8225,2.233333333,0.749166667,0.748333333,1.200833333,0.644166667,5.779166667,1.0525,1.896666667,1.715,0.385555556,14.015,1.021666667,0.5,4.485,0.875833333,18840.6,25133.52636,62.96818182,0.047272727,13.37090909,28.78,14.72,4.127272727,775.8427273,7358.18875,57.77545455,33.18181818,83.56,81.42090909,225.7166667,156.21,391.0133333,305.3716667,984.5483333,705.0083333,444.7114286,18.54909091,0.166666667
Belgium,16.33105263,71.97184211,9.367105263,3.887631579,3.668421053,2.926153846,2.427631579,2.251315789,0.914864865,1.831081081,1.953243243,2.524864865,11.93054054,9.189189189,14.81324324,2.224594595,1.650555556,2.162285714,2.219444444,1.436111111,1.213055556,1.0525,0.725555556,6.341891892,1.420294118,1.865142857,7.555945946,2.679333333,45.2552,4.990909091,2.227931034,34.29428571,1.911944444,24705.87056,25523.23382,164.9051351,0.224571429,46.66736842,29.52166667,18.21470588,10.45447368,497.9625806,15903.6663,90.28447368,42.74315789,88.58078947,118.4960526,765.8358621,628.3675,1144.228235,932.9685294,3390.170385,2842.9956,2320.216,1.745135135,0.153846154
Belize,5.88,31.834,6.582,2.044,3.338,3.324,1.064,0.746,2.334,1.708,2.05,2.016,9.034,5.186,4.643333333,3.3425,1.122,1.125,2.214,1.84,1.616,2.182,1.3,15.872,1.714,2.52,4.3275,1.6175,26.73333333,3.182,3.384,12.7725,1.6875,28206.21,24464.06667,79.648,0.308,74.792,41.19666667,9.92,8.32,165.94,,36.61,25.952,72.202,81.676,344.775,258.005,697.97,467.315,601.7666667,945.61,822.9233333,10.3125,0.2
Benin,3.17,26.13,4.75,0.95,2.77,3.96,0.65,0.49,1.6,1.43,1.2,1.89,2.85,4.39,5.34,2.47,1.05,0.99,1.49,1.23,1.43,0.44,1.06,3.56,0.89,1.46,0.87,1.58,,2.22,3.96,1.58,0.86,,22168.77,24.25,0.1,46.51,63.34,9.5,3.17,197.94,5119.93,7.92,7.92,7.92,43.55,192,148.45,494.84,249.4,,,209.81,5,0
